itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
DRWIN-00001,construction,Door Access and Automation,Access-Control Door Interface for Double Door,"Supply, install, connect, test and commission access-control door interface for double door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00002,construction,Door Access and Automation,Access-Control Door Interface for External Door,"Supply, install, connect, test and commission access-control door interface for external door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00003,construction,Door Access and Automation,Access-Control Door Interface for Fire Exit Door,"Supply, install, connect, test and commission access-control door interface for fire exit door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00004,construction,Door Access and Automation,Access-Control Door Interface for Glass Door,"Supply, install, connect, test and commission access-control door interface for glass door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00005,construction,Door Access and Automation,Access-Control Door Interface for Single Door,"Supply, install, connect, test and commission access-control door interface for single door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00006,construction,Door Access and Automation,Automatic Door Operator for Double Door,"Supply, install, connect, test and commission automatic door operator for double door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00007,construction,Door Access and Automation,Automatic Door Operator for External Door,"Supply, install, connect, test and commission automatic door operator for external door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00008,construction,Door Access and Automation,Automatic Door Operator for Fire Exit Door,"Supply, install, connect, test and commission automatic door operator for fire exit door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00009,construction,Door Access and Automation,Automatic Door Operator for Glass Door,"Supply, install, connect, test and commission automatic door operator for glass door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00010,construction,Door Access and Automation,Automatic Door Operator for Single Door,"Supply, install, connect, test and commission automatic door operator for single door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00011,construction,Door Access and Automation,Door Loop for Double Door,"Supply, install, connect, test and commission door loop for double door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00012,construction,Door Access and Automation,Door Loop for External Door,"Supply, install, connect, test and commission door loop for external door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00013,construction,Door Access and Automation,Door Loop for Fire Exit Door,"Supply, install, connect, test and commission door loop for fire exit door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00014,construction,Door Access and Automation,Door Loop for Glass Door,"Supply, install, connect, test and commission door loop for glass door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00015,construction,Door Access and Automation,Door Loop for Single Door,"Supply, install, connect, test and commission door loop for single door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00016,construction,Door Access and Automation,Door Position Switch for Double Door,"Supply, install, connect, test and commission door position switch for double door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00017,construction,Door Access and Automation,Door Position Switch for External Door,"Supply, install, connect, test and commission door position switch for external door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00018,construction,Door Access and Automation,Door Position Switch for Fire Exit Door,"Supply, install, connect, test and commission door position switch for fire exit door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00019,construction,Door Access and Automation,Door Position Switch for Glass Door,"Supply, install, connect, test and commission door position switch for glass door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00020,construction,Door Access and Automation,Door Position Switch for Single Door,"Supply, install, connect, test and commission door position switch for single door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00021,construction,Door Access and Automation,Electric Strike for Double Door,"Supply, install, connect, test and commission electric strike for double door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00022,construction,Door Access and Automation,Electric Strike for External Door,"Supply, install, connect, test and commission electric strike for external door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00023,construction,Door Access and Automation,Electric Strike for Fire Exit Door,"Supply, install, connect, test and commission electric strike for fire exit door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00024,construction,Door Access and Automation,Electric Strike for Glass Door,"Supply, install, connect, test and commission electric strike for glass door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-00025,construction,Door Access and Automation,Electric Strike for Single Door,"Supply, install, connect, test and commission electric strike for single door, including mounting accessories, cabling interfaces, power supplies where scheduled and coordination with life-safety systems. | Code Ref: 08 74 00 / OmniClass 23-17 11 25 | Spec: Model: ___ | Voltage: ___ | Holding/Operating Force: ___ | Fail Mode: ___ | Fire Alarm Interface: ___ | Access Control Interface: ___ | Finish: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
