itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
STRUCT-05501,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 22 mm – Foundations,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05502,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 22 mm – Ground beams,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05503,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 22 mm – Pile caps,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05504,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 22 mm – Precast elements,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05505,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 22 mm – Retaining walls,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05506,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 22 mm – Shear walls,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05507,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 22 mm – Slabs,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05508,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 22 mm – Stairs,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05509,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 22 mm – Tanks,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05510,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 22 mm – Walls,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05511,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 25 mm – Beams,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05512,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 25 mm – Columns,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05513,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 25 mm – Foundations,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05514,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 25 mm – Ground beams,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05515,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 25 mm – Pile caps,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05516,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 25 mm – Precast elements,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05517,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 25 mm – Retaining walls,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05518,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 25 mm – Shear walls,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05519,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 25 mm – Slabs,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05520,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 25 mm – Stairs,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05521,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 25 mm – Tanks,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05522,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 25 mm – Walls,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05523,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 28 mm – Beams,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05524,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 28 mm – Columns,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05525,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 28 mm – Foundations,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
STRUCT-05526,construction,Reinforcement / Bars,Reinforcing bar – GFRP reinforcing bar – 28 mm – Ground beams,"Supply, cut, bend, place and fix reinforcing bars including tying wire, chairs, spacers, laps and normal wastage in accordance with approved bar bending schedules. | Code Ref: 03 20 00 / 03 21 00 | Spec: Material/Grade: ___ | Diameter: ___ | Coating: ___ | Yield Strength: ___ | Lap/Coupler Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,kg,,,,,,,
